day,timestamp,product,profit_and_loss
-2,5200,INTARIAN_PEPPER_ROOT,-467.0
-2,5200,ASH_COATED_OSMIUM,99.0
-2,5300,INTARIAN_PEPPER_ROOT,-107.0
-2,5300,ASH_COATED_OSMIUM,92.0
-2,5400,INTARIAN_PEPPER_ROOT,-107.0
-2,5400,ASH_COATED_OSMIUM,99.0
-2,5500,INTARIAN_PEPPER_ROOT,-227.0
-2,5500,ASH_COATED_OSMIUM,98.0
-2,5600,INTARIAN_PEPPER_ROOT,-107.0
-2,5600,ASH_COATED_OSMIUM,114.0
-2,5700,INTARIAN_PEPPER_ROOT,-107.0
-2,5700,ASH_COATED_OSMIUM,98.0
-2,5800,INTARIAN_PEPPER_ROOT,-547.0
-2,5800,ASH_COATED_OSMIUM,93.0
-2,5900,INTARIAN_PEPPER_ROOT,-107.0
-2,5900,ASH_COATED_OSMIUM,95.0
-2,6000,INTARIAN_PEPPER_ROOT,-147.0
-2,6000,ASH_COATED_OSMIUM,104.0
-2,6100,INTARIAN_PEPPER_ROOT,-27.0
-2,6100,ASH_COATED_OSMIUM,96.0
-2,6200,INTARIAN_PEPPER_ROOT,-27.0
-2,6200,ASH_COATED_OSMIUM,136.0
-2,6300,INTARIAN_PEPPER_ROOT,-27.0
-2,6300,ASH_COATED_OSMIUM,146.0
-2,6400,INTARIAN_PEPPER_ROOT,-27.0
-2,6400,ASH_COATED_OSMIUM,146.0
-2,6500,INTARIAN_PEPPER_ROOT,-27.0
-2,6500,ASH_COATED_OSMIUM,256.0
-2,6600,INTARIAN_PEPPER_ROOT,-107.0
-2,6600,ASH_COATED_OSMIUM,146.0
-2,6700,INTARIAN_PEPPER_ROOT,413.0
-2,6700,ASH_COATED_OSMIUM,146.0
-2,6800,INTARIAN_PEPPER_ROOT,-27.0
-2,6800,ASH_COATED_OSMIUM,146.0
-2,6900,INTARIAN_PEPPER_ROOT,-27.0
-2,6900,ASH_COATED_OSMIUM,141.0
